source_record_key,claim_area,citation,doi_or_pmid,publication_year,study_type,population,applicability,limitations,evidence_grade,review_required
moves-starter-v1:balance:anteroposterior-weight-shift,"Równowaga i kontrola motoryczna: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Sherrington C, et al. Exercise for preventing falls in older people living in the community: an abridged Cochrane systematic review. Br J Sports Med. 2020;54:885-891.",DOI:10.1136/bjsports-2019-101512; PMID:31792067,2020,Cochrane systematic review,community-dwelling older adults,balance and functional exercise families,"individual exercises are components, not complete fall-prevention programmes",HIGH,false
moves-starter-v1:balance:controlled-march,"Równowaga i kontrola motoryczna: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Sherrington C, et al. Exercise for preventing falls in older people living in the community: an abridged Cochrane systematic review. Br J Sports Med. 2020;54:885-891.",DOI:10.1136/bjsports-2019-101512; PMID:31792067,2020,Cochrane systematic review,community-dwelling older adults,balance and functional exercise families,"individual exercises are components, not complete fall-prevention programmes",HIGH,false
moves-starter-v1:balance:heel-to-toe-walk,"Równowaga i kontrola motoryczna: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Sherrington C, et al. Exercise for preventing falls in older people living in the community: an abridged Cochrane systematic review. Br J Sports Med. 2020;54:885-891.",DOI:10.1136/bjsports-2019-101512; PMID:31792067,2020,Cochrane systematic review,community-dwelling older adults,balance and functional exercise families,"individual exercises are components, not complete fall-prevention programmes",HIGH,false
moves-starter-v1:balance:lateral-weight-shift,"Równowaga i kontrola motoryczna: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Sherrington C, et al. Exercise for preventing falls in older people living in the community: an abridged Cochrane systematic review. Br J Sports Med. 2020;54:885-891.",DOI:10.1136/bjsports-2019-101512; PMID:31792067,2020,Cochrane systematic review,community-dwelling older adults,balance and functional exercise families,"individual exercises are components, not complete fall-prevention programmes",HIGH,false
moves-starter-v1:balance:single-leg-clock-reach,"Równowaga i kontrola motoryczna: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Sherrington C, et al. Exercise for preventing falls in older people living in the community: an abridged Cochrane systematic review. Br J Sports Med. 2020;54:885-891.",DOI:10.1136/bjsports-2019-101512; PMID:31792067,2020,Cochrane systematic review,community-dwelling older adults,balance and functional exercise families,"individual exercises are components, not complete fall-prevention programmes",HIGH,false
moves-starter-v1:balance:single-leg-stance,"Równowaga i kontrola motoryczna: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Sherrington C, et al. Exercise for preventing falls in older people living in the community: an abridged Cochrane systematic review. Br J Sports Med. 2020;54:885-891.",DOI:10.1136/bjsports-2019-101512; PMID:31792067,2020,Cochrane systematic review,community-dwelling older adults,balance and functional exercise families,"individual exercises are components, not complete fall-prevention programmes",HIGH,false
moves-starter-v1:balance:supported-single-leg-stance,"Równowaga i kontrola motoryczna: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Sherrington C, et al. Exercise for preventing falls in older people living in the community: an abridged Cochrane systematic review. Br J Sports Med. 2020;54:885-891.",DOI:10.1136/bjsports-2019-101512; PMID:31792067,2020,Cochrane systematic review,community-dwelling older adults,balance and functional exercise families,"individual exercises are components, not complete fall-prevention programmes",HIGH,false
moves-starter-v1:balance:tandem-stance,"Równowaga i kontrola motoryczna: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Sherrington C, et al. Exercise for preventing falls in older people living in the community: an abridged Cochrane systematic review. Br J Sports Med. 2020;54:885-891.",DOI:10.1136/bjsports-2019-101512; PMID:31792067,2020,Cochrane systematic review,community-dwelling older adults,balance and functional exercise families,"individual exercises are components, not complete fall-prevention programmes",HIGH,false
moves-starter-v1:breathing:paced-longer-exhale,"Oddychanie i regeneracja: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Kwon CY, Won J, Lee B. The health effects of diaphragmatic breathing: a systematic review. Complement Ther Med. 2026;96:103317.",DOI:10.1016/j.ctim.2025.103317; PMID:41482169,2026,systematic review,mixed adult populations,gentle diaphragmatic and slow-breathing exercise families,heterogeneous methods and outcomes; no therapeutic claims encoded,LOW,true
moves-starter-v1:breathing:prone-crocodile-breathing,"Oddychanie i regeneracja: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Kwon CY, Won J, Lee B. The health effects of diaphragmatic breathing: a systematic review. Complement Ther Med. 2026;96:103317.",DOI:10.1016/j.ctim.2025.103317; PMID:41482169,2026,systematic review,mixed adult populations,gentle diaphragmatic and slow-breathing exercise families,heterogeneous methods and outcomes; no therapeutic claims encoded,LOW,true
moves-starter-v1:breathing:seated-360-breathing,"Oddychanie i regeneracja: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Kwon CY, Won J, Lee B. The health effects of diaphragmatic breathing: a systematic review. Complement Ther Med. 2026;96:103317.",DOI:10.1016/j.ctim.2025.103317; PMID:41482169,2026,systematic review,mixed adult populations,gentle diaphragmatic and slow-breathing exercise families,heterogeneous methods and outcomes; no therapeutic claims encoded,LOW,true
moves-starter-v1:breathing:supine-diaphragmatic-breathing,"Oddychanie i regeneracja: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Kwon CY, Won J, Lee B. The health effects of diaphragmatic breathing: a systematic review. Complement Ther Med. 2026;96:103317.",DOI:10.1016/j.ctim.2025.103317; PMID:41482169,2026,systematic review,mixed adult populations,gentle diaphragmatic and slow-breathing exercise families,heterogeneous methods and outcomes; no therapeutic claims encoded,LOW,true
moves-starter-v1:mobility:active-cross-body-shoulder,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:adductor-rock-back,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:ankle-circles,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:ankle-knee-to-wall,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:cat-camel,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:controlled-neck-lateral-flexion,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:controlled-neck-rotation,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
