source_record_key,editorial_segment,body_region,primary_movement_pattern,stimulus_type,purpose,technical_level,environment,equipment,unilateral,review_priority
moves-starter-v1:balance:anteroposterior-weight-shift,Równowaga i kontrola motoryczna,Stopa; staw skokowy; równowaga,OTHER,MOTOR_CONTROL,TRAINING,FOUNDATIONAL,ANY,WALL,false,MEDIUM
moves-starter-v1:balance:controlled-march,Równowaga i kontrola motoryczna,Całe ciało; miednica; równowaga,LOCOMOTION,MOTOR_CONTROL,TRAINING,INTERMEDIATE,ANY,,true,MEDIUM
moves-starter-v1:balance:heel-to-toe-walk,Równowaga i kontrola motoryczna,Całe ciało; równowaga,LOCOMOTION,MOTOR_CONTROL,TRAINING,INTERMEDIATE,ANY,,false,MEDIUM
moves-starter-v1:balance:lateral-weight-shift,Równowaga i kontrola motoryczna,Biodro; staw skokowy; równowaga,OTHER,MOTOR_CONTROL,TRAINING,FOUNDATIONAL,ANY,WALL,false,MEDIUM
moves-starter-v1:balance:single-leg-clock-reach,Równowaga i kontrola motoryczna,Biodro; staw skokowy; równowaga,OTHER,MOTOR_CONTROL,TRAINING,INTERMEDIATE,ANY,,true,MEDIUM
moves-starter-v1:balance:single-leg-stance,Równowaga i kontrola motoryczna,Stopa; biodro; równowaga,OTHER,BALANCE,TRAINING,INTERMEDIATE,ANY,,true,MEDIUM
moves-starter-v1:balance:supported-single-leg-stance,Równowaga i kontrola motoryczna,Stopa; biodro; równowaga,OTHER,BALANCE,TRAINING,FOUNDATIONAL,ANY,WALL,true,MEDIUM
moves-starter-v1:balance:tandem-stance,Równowaga i kontrola motoryczna,Równowaga całego ciała,OTHER,BALANCE,TRAINING,FOUNDATIONAL,ANY,WALL,false,MEDIUM
moves-starter-v1:breathing:paced-longer-exhale,Oddychanie i regeneracja,Klatka piersiowa; tułów,BREATHING,RECOVERY,RECOVERY,FOUNDATIONAL,ANY,CHAIR,false,MEDIUM
moves-starter-v1:breathing:prone-crocodile-breathing,Oddychanie i regeneracja,Klatka piersiowa; tułów,BREATHING,RECOVERY,RECOVERY,FOUNDATIONAL,ANY,MAT,false,MEDIUM
moves-starter-v1:breathing:seated-360-breathing,Oddychanie i regeneracja,Klatka piersiowa; tułów,BREATHING,RECOVERY,RECOVERY,FOUNDATIONAL,ANY,CHAIR,false,MEDIUM
moves-starter-v1:breathing:supine-diaphragmatic-breathing,Oddychanie i regeneracja,Klatka piersiowa; tułów,BREATHING,RECOVERY,RECOVERY,FOUNDATIONAL,ANY,MAT,false,MEDIUM
moves-starter-v1:mobility:active-cross-body-shoulder,Mobilność,Bark; obręcz barkowa,MOBILITY,MOBILITY,WARM_UP|TRAINING,FOUNDATIONAL,ANY,,true,LOW
moves-starter-v1:mobility:adductor-rock-back,Mobilność,Udo; biodro i miednica,MOBILITY,MOBILITY,WARM_UP|TRAINING,INTERMEDIATE,ANY,MAT,true,MEDIUM
moves-starter-v1:mobility:ankle-circles,Mobilność,Stopa i staw skokowy,MOBILITY,MOBILITY,WARM_UP|TRAINING,FOUNDATIONAL,ANY,CHAIR,true,LOW
moves-starter-v1:mobility:ankle-knee-to-wall,Mobilność,Stopa i staw skokowy,MOBILITY,MOBILITY,WARM_UP|TRAINING,FOUNDATIONAL,ANY,WALL,true,LOW
moves-starter-v1:mobility:cat-camel,Mobilność,Kręgosłup piersiowy i lędźwiowy,MOBILITY,MOBILITY,WARM_UP|TRAINING,FOUNDATIONAL,ANY,MAT,false,LOW
moves-starter-v1:mobility:controlled-neck-lateral-flexion,Mobilność,Szyja; obręcz barkowa,MOBILITY,MOBILITY,WARM_UP|TRAINING,FOUNDATIONAL,ANY,CHAIR,false,LOW
moves-starter-v1:mobility:controlled-neck-rotation,Mobilność,Szyja,MOBILITY,MOBILITY,WARM_UP|TRAINING,FOUNDATIONAL,ANY,CHAIR,false,LOW
moves-starter-v1:mobility:deep-squat-mobility-hold,Mobilność,Biodro; kolano; staw skokowy,MOBILITY,MOBILITY,WARM_UP|TRAINING,INTERMEDIATE,ANY,WALL,false,MEDIUM
moves-starter-v1:mobility:dynamic-half-kneeling-hip-flexor,Mobilność,Biodro i miednica,MOBILITY,MOBILITY,WARM_UP|TRAINING,FOUNDATIONAL,ANY,MAT,true,LOW
moves-starter-v1:mobility:forearm-pronation-supination,Mobilność,Przedramię; łokieć,MOBILITY,MOBILITY,WARM_UP|TRAINING,FOUNDATIONAL,ANY,CHAIR,true,LOW
moves-starter-v1:mobility:hip-90-90-switch,Mobilność,Biodro i miednica,MOBILITY,MOBILITY,WARM_UP|TRAINING,INTERMEDIATE,ANY,MAT,false,MEDIUM
moves-starter-v1:mobility:quadruped-thoracic-rotation,Mobilność,Odcinek piersiowy; obręcz barkowa,MOBILITY,MOBILITY,WARM_UP|TRAINING,INTERMEDIATE,ANY,MAT,true,MEDIUM
moves-starter-v1:mobility:quadruped-wrist-rock,Mobilność,Nadgarstek i przedramię,MOBILITY,MOBILITY,WARM_UP|TRAINING,FOUNDATIONAL,ANY,MAT,false,LOW
moves-starter-v1:mobility:scapular-circles,Mobilność,Obręcz barkowa,MOBILITY,MOBILITY,WARM_UP|TRAINING,FOUNDATIONAL,ANY,,false,LOW
moves-starter-v1:mobility:seated-hip-external-rotation,Mobilność,Biodro i miednica,MOBILITY,MOBILITY,WARM_UP|TRAINING,FOUNDATIONAL,ANY,CHAIR,true,LOW
